Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: FileTracker className: FileTracker
Thu Jan 14 13:42:12 2010:6207 src/tableschema.cpp:289 Stone::Field* Stone::TableSchema::field(const QString&, bool):TableSchema FileTracker Couldn't find field: mPathCacheNumber
Thu Jan 14 13:42:12 2010:6207 src/tableschema.cpp:289 Stone::Field* Stone::TableSchema::field(const QString&, bool):TableSchema FileTracker Couldn't find field: mPathCache
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: FileTrackerDep className: FileTrackerDep
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: Graph className: Graph
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: GraphDs className: GraphDs
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: GraphPage className: GraphPage
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: GraphRelationship className: GraphRelationship
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: GridTemplate className: GridTemplate
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: GridTemplateItem className: GridTemplateItem
